Xw,Yw,Zw
-1.499998290091753,103.20507884025574,21.243552288948564
-1.499998290091753,103.4550788346678,20.81053960450674
-1.499998290091753,103.70507882907987,20.377526920064916
-1.499998290091753,103.95507882349193,19.94451423562311
-1.499998290091753,104.205078817904,19.511501551181286
-1.2499982956796885,104.45507881231606,19.078488866739463
-1.2499982956796885,104.70507880672812,18.64547618229766
-1.2499982956796885,104.95507880114019,18.212463497855836
-1.2499982956796885,105.20507879555225,17.77945081341401
-1.2499982956796885,105.45507878996432,17.346438128972185
-0.9999983012676239,105.70507878437638,16.91342544453036
-0.9999983012676239,105.95507877878845,16.48041276008856
-0.9999983012676239,106.20507877320051,16.047400075646735
-0.9999983012676239,106.45507876761258,15.61438739120491
-0.9999983012676239,106.70507876202464,15.181374706763107
-0.7499983068555593,106.9550787564367,14.748362022321281
-0.7499983068555593,107.20507875084877,14.315349337879457
-0.7499983068555593,107.45507874526083,13.882336653437633
-0.7499983068555593,107.7050787396729,13.449323968995808
-0.7499983068555593,107.95507873408496,13.016311284554005
-0.7499983068555593,108.20507872849703,12.58329860011218
-0.4999983124434948,108.4550787229091,12.150285915670356
-0.4999983124434948,108.70507871732116,11.717273231228553
-0.4999983124434948,108.95507871173322,11.28426054678673
-0.4999983124434948,109.20507870614529,10.851247862344904
-0.4999983124434948,109.45507870055735,10.418235177903078
-0.4999983124434948,109.70507869496942,9.985222493461254
-0.4999983124434948,109.95507868938148,9.552209809019452
-0.24999831803143024,110.20507868379354,9.119197124577628
-0.24999831803143024,110.45507867820561,8.686184440135802
-0.24999831803143024,110.70507867261767,8.253171755694
-0.24999831803143024,110.95507866702974,7.820159071252175
-0.24999831803143024,111.2050786614418,7.38714638681035
-0.24999831803143024,111.45507865585387,6.954133702368526
-0.24999831803143024,111.70507865026593,6.521121017926701
1.6763806343078613e-06,111.955078644678,6.088108333484898
1.6763806343078613e-06,112.20507863909006,5.655095649043074
1.6763806343078613e-06,112.45507863350213,5.222082964601249
1.6763806343078613e-06,112.70507862791419,4.7890702801594465
